grinning	😀	grinning face
mage_woman	🧙‍♀️	woman mage
fairy	🧚	fairy
fairy_man	🧚‍♂️	man fairy
fairy_woman	🧚‍♀️	woman fairy
vampire	🧛	vampire
vampire_man	🧛‍♂️	man vampire
vampire_woman	🧛‍♀️	woman vampire
merperson	🧜	merperson
merman	🧜‍♂️	merman
mermaid	🧜‍♀️	mermaid
elf	🧝	elf
elf_man	🧝‍♂️	man elf
elf_woman	🧝‍♀️	woman elf
genie	🧞	genie
genie_man	🧞‍♂️	man genie
genie_woman	🧞‍♀️	woman genie
zombie	🧟	zombie
zombie_man	🧟‍♂️	man zombie
zombie_woman	🧟‍♀️	woman zombie
troll	🧌	troll
massage	💆	person getting massage
massage_man	💆‍♂️	man getting massage
massage_woman	💆‍♀️	woman getting massage
haircut	💇	person getting haircut
haircut_man	💇‍♂️	man getting haircut
haircut_woman	💇‍♀️	woman getting haircut
walking	🚶	person walking
walking_man	🚶‍♂️	man walking
walking_woman	🚶‍♀️	woman walking
standing_person	🧍	person standing
standing_man	🧍‍♂️	man standing
standing_woman	🧍‍♀️	woman standing
kneeling_person	🧎	person kneeling
kneeling_man	🧎‍♂️	man kneeling
kneeling_woman	🧎‍♀️	woman kneeling
person_with_probing_cane	🧑‍🦯	person with white cane
man_with_probing_cane	👨‍🦯	man with white cane
woman_with_probing_cane	👩‍🦯	woman with white cane
person_in_motorized_wheelchair	🧑‍🦼	person in motorized wheelchair
man_in_motorized_wheelchair	👨‍🦼	man in motorized wheelchair
woman_in_motorized_wheelchair	👩‍🦼	woman in motorized wheelchair
person_in_manual_wheelchair	🧑‍🦽	person in manual wheelchair
man_in_manual_wheelchair	👨‍🦽	man in manual wheelchair
woman_in_manual_wheelchair	👩‍🦽	woman in manual wheelchair
runner	🏃	person running
running	🏃	person running
running_man	🏃‍♂️	man running
running_woman	🏃‍♀️	woman running
woman_dancing	💃	woman dancing
dancer	💃	woman dancing
man_dancing	🕺	man dancing
business_suit_levitating	🕴️	person in suit levitating
dancers	👯	people with bunny ears
dancing_men	👯‍♂️	men with bunny ears
dancing_women	👯‍♀️	women with bunny ears
sauna_person	🧖	person in steamy room
sauna_man	🧖‍♂️	man in steamy room
sauna_woman	🧖‍♀️	woman in steamy room
climbing	🧗	person climbing
climbing_man	🧗‍♂️	man climbing
climbing_woman	🧗‍♀️	woman climbing
person_fencing	🤺	person fencing
horse_racing	🏇	horse racing
skier	⛷️	skier
snowboarder	🏂	snowboarder
golfing	🏌️	person golfing
golfing_man	🏌️‍♂️	man golfing
golfing_woman	🏌️‍♀️	woman golfing
surfer	🏄	person surfing
surfing_man	🏄‍♂️	man surfing
surfing_woman	🏄‍♀️	woman surfing
rowboat	🚣	person rowing boat
rowing_man	🚣‍♂️	man rowing boat
rowing_woman	🚣‍♀️	woman rowing boat
swimmer	🏊	person swimming
swimming_man	🏊‍♂️	man swimming
swimming_woman	🏊‍♀️	woman swimming
bouncing_ball_person	⛹️	person bouncing ball
bouncing_ball_man	⛹️‍♂️	man bouncing ball
basketball_man	⛹️‍♂️	man bouncing ball
bouncing_ball_woman	⛹️‍♀️	woman bouncing ball
basketball_woman	⛹️‍♀️	woman bouncing ball
weight_lifting	🏋️	person lifting weights
weight_lifting_man	🏋️‍♂️	man lifting weights
weight_lifting_woman	🏋️‍♀️	woman lifting weights
bicyclist	🚴	person biking
biking_man	🚴‍♂️	man biking
biking_woman	🚴‍♀️	woman biking
mountain_bicyclist	🚵	person mountain biking
mountain_biking_man	🚵‍♂️	man mountain biking
mountain_biking_woman	🚵‍♀️	woman mountain biking
cartwheeling	🤸	person cartwheeling
man_cartwheeling	🤸‍♂️	man cartwheeling
woman_cartwheeling	🤸‍♀️	woman cartwheeling
wrestling	🤼	people wrestling
men_wrestling	🤼‍♂️	men wrestling
women_wrestling	🤼‍♀️	women wrestling
water_polo	🤽	person playing water polo
man_playing_water_polo	🤽‍♂️	man playing water polo
woman_playing_water_polo	🤽‍♀️	woman playing water polo
handball_person	🤾	person playing handball
man_playing_handball	🤾‍♂️	man playing handball
woman_playing_handball	🤾‍♀️	woman playing handball
juggling_person	🤹	person juggling
man_juggling	🤹‍♂️	man juggling
woman_juggling	🤹‍♀️	woman juggling
lotus_position	🧘	person in lotus position
lotus_position_man	🧘‍♂️	man in lotus position
lotus_position_woman	🧘‍♀️	woman in lotus position
bath	🛀	person taking bath
sleeping_bed	🛌	person in bed
